156,254,159,420
160,254,175,420
176,254,191,422
192,254,207,424
208,254,223,425
224,254,239,427
240,254,255,429
256,254,271,430
272,254,287,432
288,254,303,433
304,254,319,435
320,254,335,437
336,254,351,438
352,254,367,440
368,254,383,441
384,254,399,443
400,254,415,445
131,450,143,514
144,452,159,516
160,453,175,518
176,455,191,520
192,457,207,522
208,459,223,524
224,461,239,526
240,463,255,528
256,465,271,530
272,467,287,532
288,469,303,534
304,470,319,536
320,472,335,538
336,474,351,540
352,476,367,542
368,478,383,544
384,480,399,546
400,482,415,548
170,0,175,187
176,0,191,179
192,1,207,160
208,2,223,140
224,2,239,121
240,3,255,101
256,3,271,82
