155,166,159,261
160,167,175,261
176,170,191,261
192,172,207,261
208,175,223,261
224,177,239,262
240,180,255,262
256,182,271,262
272,185,287,263
288,187,303,263
304,190,319,263
320,192,335,263
336,195,351,264
352,197,367,264
193,309,207,401
208,311,223,400
224,313,239,399
240,316,255,397
256,318,271,396
272,320,287,395
288,323,303,394
304,325,319,393
320,327,335,392
336,330,351,391
352,332,367,389
187,440,191,536
192,439,207,536
208,439,223,534
224,438,239,533
240,438,255,531
256,437,271,529
272,437,287,528
288,436,303,526
304,436,319,524
320,435,335,523
336,435,351,521
352,434,367,519
368,434,383,518
384,433,399,516
198,575,207,677
208,575,223,677
224,575,239,677
240,575,255,677
256,575,271,677
272,575,287,677
288,575,303,677
304,575,319,678
320,575,335,678
336,575,351,678
352,575,367,678
368,575,383,678
384,575,399,678
400,575,415,678
416,575,431,679
432,575,447,679
