436,137,447,248
448,135,463,248
464,132,479,249
480,130,495,249
496,128,511,250
512,125,527,250
528,123,543,250
544,120,559,251
560,118,575,251
576,116,591,252
592,113,607,252
608,111,623,252
624,108,639,253
640,106,655,253
656,104,671,254
672,101,687,254
688,99,703,255
704,96,719,255
439,255,447,363
448,255,463,365
464,256,479,369
480,257,495,373
496,258,511,376
512,258,527,380
528,259,543,384
544,260,559,388
560,261,575,391
576,262,591,395
592,262,607,399
608,263,623,403
624,264,639,406
640,265,655,410
656,266,671,414
672,267,687,418
237,128,239,159
240,129,255,160
256,130,271,161
272,132,287,163
288,134,303,165
304,135,319,167
320,137,335,169
237,157,239,188
240,158,255,188
256,159,271,190
272,161,287,191
288,162,303,193
304,163,319,194
